msme_id,archetype,true_health,gst_turnover_lakhs_avg,gst_turnover_growth_yoy_pct,gst_filing_delay_days_avg,gst_filing_consistency_pct,upi_aa_avg_monthly_inflow_lakhs,upi_aa_avg_monthly_outflow_lakhs,cash_flow_volatility_cv,bounce_rate_pct,avg_bank_balance_runway_days,epfo_employee_count,epfo_employee_growth_yoy_pct,epfo_pf_compliance_score,epfo_avg_wage_growth_yoy_pct,defaulted_12m,net_margin_pct,revenue_stability_score,cash_flow_health_score,compliance_score,growth_momentum_score,repayment_capacity_score,composite_rule_score
MSME00000,credit_invisible_viable,71.1,423.4,13.6,9.2,75.3,156.0,124.1,0.39,14.6,80.0,111,6.2,73.7,20.0,0,20.4,62.9,58.7,68.6,66.8,66.6,64.3
MSME00001,seasonal,73.9,276.5,38.8,20.4,68.8,150.5,133.5,0.29,11.6,77.0,105,0.1,52.1,9.0,0,11.3,67.9,58.4,48.0,49.0,57.7,56.7
MSME00002,high_risk_ntc,39.1,178.4,23.2,16.2,67.4,161.8,136.2,0.42,21.6,49.0,84,36.1,66.7,15.3,0,15.8,49.6,47.2,55.9,79.1,49.5,54.7
MSME00003,credit_invisible_viable,45.1,267.6,-4.4,17.2,63.7,154.6,131.5,0.74,12.3,31.0,42,22.2,74.8,11.4,1,14.9,38.4,44.5,56.0,65.5,41.0,48.0
MSME00004,stable_growth,77.4,307.5,42.1,30.4,91.8,227.0,185.3,0.36,21.4,53.0,118,29.6,75.7,-0.5,0,18.4,72.6,51.4,62.4,54.7,53.4,58.7
MSME00005,high_risk_ntc,31.1,289.0,20.1,21.5,69.3,127.8,96.0,0.39,14.2,44.0,99,8.9,29.8,-2.5,1,24.9,56.5,62.5,39.0,39.5,54.9,51.6
MSME00006,credit_invisible_viable,72.1,111.2,26.7,22.0,62.4,229.2,196.4,0.31,10.5,80.0,177,-6.0,53.6,3.5,0,14.3,46.6,61.1,43.5,38.2,61.5,51.3
MSME00007,credit_invisible_viable,84.2,270.7,15.5,4.1,87.7,209.2,173.5,0.57,6.1,105.0,131,36.7,81.8,4.7,0,17.1,52.0,58.4,82.8,65.8,74.5,66.3
MSME00008,stable_growth,58.5,199.2,2.4,36.4,63.9,210.0,226.4,0.58,13.1,65.0,25,-8.1,64.1,7.8,0,-7.8,37.4,32.3,37.1,42.4,36.6,36.7
MSME00009,declining,29.1,45.0,-3.7,32.4,56.6,170.4,143.1,0.65,19.1,74.0,80,2.2,25.0,10.0,0,16.0,21.0,41.7,21.4,51.5,60.4,38.7
MSME00010,seasonal,67.1,206.6,32.3,17.0,79.6,128.5,91.3,0.37,9.4,94.0,188,-18.5,84.4,18.2,0,28.9,58.0,71.0,69.0,49.4,79.6,66.5
MSME00011,high_risk_ntc,6.3,73.8,-16.1,35.9,51.5,24.3,25.2,0.71,23.1,33.0,105,-33.8,44.0,4.7,1,-3.7,15.0,20.9,22.8,22.7,26.4,21.5
MSME00012,credit_invisible_viable,82.8,326.4,36.4,6.0,89.1,264.7,220.7,0.26,8.9,92.0,90,23.5,60.7,7.9,0,16.6,70.3,66.1,74.2,61.8,68.6,68.4
MSME00013,credit_invisible_viable,71.7,402.3,1.0,29.0,68.5,200.2,137.8,0.35,10.6,68.0,142,-2.4,83.0,-4.3,0,31.2,52.8,72.2,52.7,30.3,70.4,57.8
MSME00014,seasonal,70.2,286.6,20.1,15.1,69.8,82.1,58.1,0.59,5.7,99.0,83,-22.4,57.6,10.5,0,29.2,56.3,67.1,54.7,37.2,82.0,61.0
MSME00015,stable_growth,70.4,209.8,26.1,16.1,69.5,139.6,116.5,0.57,11.5,88.0,58,23.1,57.5,10.2,0,16.5,54.1,52.5,53.8,64.5,66.7,57.7
MSME00016,declining,43.1,224.9,49.1,19.3,61.0,186.7,136.9,0.32,12.9,31.0,79,36.9,63.0,8.2,1,26.7,70.7,67.6,48.4,70.4,50.8,61.4
MSME00017,stable_growth,83.5,419.4,3.5,10.6,90.6,187.4,125.8,0.23,5.4,84.0,130,37.7,92.2,22.2,0,32.9,55.8,82.9,83.3,88.9,78.7,77.6
MSME00018,credit_invisible_viable,70.3,214.8,45.9,24.7,83.8,152.0,117.3,0.43,6.2,104.0,41,8.1,88.7,18.3,0,22.8,67.7,67.5,67.1,65.8,78.8,69.5
MSME00019,credit_invisible_viable,70.3,221.2,26.8,20.4,91.9,250.5,224.9,0.71,21.0,69.0,66,13.3,74.3,15.7,0,10.2,55.5,33.4,69.8,65.6,53.4,53.9
MSME00020,credit_invisible_viable,70.7,360.5,31.5,24.2,94.6,119.6,81.7,0.14,8.3,84.0,117,28.6,75.9,2.3,0,31.7,69.8,82.3,69.0,57.7,77.7,72.5
MSME00021,seasonal,49.6,227.9,17.1,22.5,58.2,101.9,62.2,0.53,6.0,75.0,82,25.7,72.6,3.3,0,39.0,49.5,76.3,47.8,57.3,79.9,63.1
MSME00022,high_risk_ntc,27.8,249.1,13.7,31.9,63.0,127.4,82.6,0.29,12.3,27.0,101,-10.3,34.1,4.0,1,35.2,49.0,75.6,28.9,36.2,56.2,51.2
MSME00023,high_risk_ntc,27.7,184.7,2.3,23.4,51.2,138.3,100.1,0.43,15.5,61.0,38,-3.2,61.0,-0.8,1,27.6,36.2,61.8,38.7,34.3,64.4,48.5
MSME00024,credit_invisible_viable,71.8,374.3,46.1,36.8,68.5,213.3,130.4,0.34,12.0,40.0,147,19.4,57.3,14.0,0,38.9,80.7,77.0,37.0,67.2,64.9,65.8
MSME00025,stable_growth,83.0,246.5,20.9,5.3,74.3,244.9,172.0,0.29,10.3,65.0,73,27.3,78.4,14.1,0,29.8,53.6,73.6,72.8,72.1,68.0,68.1
MSME00026,declining,24.4,175.8,25.4,37.5,51.3,121.2,90.0,0.46,19.0,74.0,150,-7.7,45.6,-3.0,1,25.7,50.9,55.8,22.0,28.7,68.4,46.5
MSME00027,stable_growth,74.0,301.0,13.2,30.1,66.0,215.8,143.2,0.4,6.3,83.0,47,12.2,77.6,18.4,0,33.6,52.8,76.5,48.3,68.4,78.8,65.4
MSME00028,stable_growth,86.9,240.0,29.8,8.4,81.0,193.7,121.6,0.27,8.8,75.0,80,38.2,77.0,12.7,0,37.2,59.0,81.3,73.7,77.0,78.4,74.1
